Date,donor,jem-id_cell_specimen,cell_specimen_id ,type of experiment,injection region,virus,jem-status_reporter,jem-id_patched_cell_container,jem-roi_minor,jem-nucleus_post_patch,link_ims_20x ,ims63x_go_no_go ,image_series_63x_qc ,link_ims_63x ,Annotated structure,x,y,z,notes,Unofficial structure,rnaamp_fail,exp_component_name,Genes.Detected.CPM,ephys_roi_id,ephys_qc,storage_directory,failed_bad_rs,failed_electrode_0,failed_no_seal,ephys_fx_extraction,qualitative_call_type_I_II
9/20/22,643791,Gad2-IRES-Cre;Ai14-643791.09.06.01,1212559334,,,,Negative,PJS4_220920_801_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1215786260,,,,PB,,,,,PB,TRUE,AB-S40314_S650_E1-50,5471,1212559311,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3633/Ephys_Roi_Result_1212559311/,FALSE,FALSE,FALSE,yes,
9/20/22,643791,Gad2-IRES-Cre;Ai14-643791.10.06.02,1212557968,,,,Negative,P4S4_220920_152_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1215786339,,,,LC,,,,,PCG,TRUE,AB-S40314_S639_E1-50,2784,1212557784,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3633/Ephys_Roi_Result_1212557784/,FALSE,FALSE,FALSE,yes,
9/20/22,643791,Gad2-IRES-Cre;Ai14-643791.09.06.02,1212569320,,,,Negative,PJS4_220920_802_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1215786260,63x go,deferred,http://lims2/focal_plane_image_series?id=1224608452,PB,10569.11426,4145.165039,4518,,LC,FALSE,AB-S40314_S651_E1-50,8531,1212569290,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod3633/Ephys_Roi_Result_1212569290/,TRUE,FALSE,FALSE,yes,
9/20/22,,Gad2-IRES-Cre;Ai14-643791.10.06.03,1212572552,,,,Negative,P4S4_220920_153_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1215786339,63x go,image_qc_passed,http://lims2/focal_plane_image_series?id=1242049493,,,,,,PCG,FALSE,AB-S40314_S640_E1-50,9938,1212572517,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3633/Ephys_Roi_Result_1212572517/,FALSE,FALSE,FALSE,yes,
9/20/22,643791,Gad2-IRES-Cre;Ai14-643791.10.06.01,1212546758,,,,Negative,P4S4_220920_151_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1215786339,63x no go,,,,,,,,PCG,FALSE,AB-S40314_S638_E1-50,11132,1212546732,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3633/Ephys_Roi_Result_1212546732/,FALSE,FALSE,FALSE,yes,
9/20/22,,Gad2-IRES-Cre;Ai14-643791.10.06.04,1212580074,,,,Negative,P4S4_220920_154_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1215786339,63x no go,,,,,,,,LDT,FALSE,AB-S40314_S649_E1-50,5928,1212579992,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3633/Ephys_Roi_Result_1212579992/,FALSE,FALSE,FALSE,yes,
9/21/22,643792,Gad2-IRES-Cre;Ai14-643792.10.06.01,1212844896,,,,Positive,PNS4_220921_851_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1215786490,,,,,,,,,PB,TRUE,AB-S40314_S667_E1-50,3733,1212844807,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod3633/Ephys_Roi_Result_1212844807/,FALSE,FALSE,FALSE,yes,
10/7/22,646204,Chat-IRES-Cre-neo;Ai14-646204.10.06.01,1216286451,,,,Negative,PNS4_221007_851_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1220583776,63x no go,,,,,,,,PB,FALSE,AB-S40316_S475_E1-50,8588,1216286432,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3635/Ephys_Roi_Result_1216286432/,FALSE,FALSE,FALSE,yes,
10/7/22,,Chat-IRES-Cre-neo;Ai14-646204.10.06.02,1216304088,,,,Negative,PNS4_221007_852_A01,LC,nucleus_present,http://lims2/focal_plane_image_series?id=1220583776,63x no go,,,,,,,,PB,FALSE,AB-S40316_S476_E1-50,8991,1216304070,auto_passed,/allen/programs/celltypes/production/mousecelltypes/prod3635/Ephys_Roi_Result_1216304070/,FALSE,FALSE,FALSE,yes,
10/7/22,,Chat-IRES-Cre-neo;Ai14-646204.10.06.03,1216310187,,,,Negative,PNS4_221007_853_A01,LC,nucleus_absent,http://lims2/focal_plane_image_series?id=1220583776,63x no go,,,PB,10312.9082,4247.868652,4536.5,,LC,FALSE,AB-S40316_S477_E1-50,8718,1216310165,auto_failed,/allen/programs/celltypes/production/mousecelltypes/prod3635/Ephys_Roi_Result_1216310165/,TRUE,FALSE,FALSE,yes,
