cell_specimen_id,blowout_mv_qc,electrode_0_pa_qc,recording_date_qc,seal_gohm_qc,input_resistance_mohm_qc,initial_access_resistance_mohm_qc,input_access_resistance_ratio_qc,fail_tags_qc,failed_blowout,failed_electrode_0,failed_seal,failed_input_access_resistance,failed_qc,failed_fx_long_squares,failed_fx_short_squares,failed_fx_ramps,failed_fx_chirps,failed_fx_sweep_features,upstroke_downstroke_ratio_short_square,threshold_v_short_square,width_short_square,upstroke_short_square,downstroke_short_square,width_suprathresh_short_square,peak_deltav_short_square,sag,sag_area,sag_tau,v_baseline,rheobase_i,fi_fit_slope,vm_for_sag,input_resistance,input_resistance_ss,tau,latency_rheo,avg_rate_rheo,mean_isi_rheo,upstroke_downstroke_ratio_rheo,threshold_v_rheo,peak_v_rheo,width_rheo,upstroke_rheo,downstroke_rheo,width_suprathresh_rheo,trough_v_rheo,fast_trough_v_rheo,postap_slope_rheo,fast_trough_v_last_rheo,adp_v_last_rheo,adapt_hero,avg_rate_hero,latency_hero,mean_isi_hero,median_isi_hero,isi_cv_hero,ir_late_hero,upstroke_downstroke_ratio_hero,threshold_v_hero,peak_v_hero,width_hero,upstroke_hero,downstroke_hero,width_suprathresh_hero,trough_v_hero,fast_trough_v_hero,postap_slope_hero,ahp_delay_ratio_hero,adapt_mean,isi_cv_mean,ir_late_mean,avg_rate_max,isi_adapt_ratio,width_adapt_ratio,upstroke_adapt_ratio,downstroke_adapt_ratio,threshold_v_adapt_ratio,peak_v_adapt_ratio,ahp_delay_ratio_5spike,trough_slowdeltav_rheo,trough_slowdeltav_hero,fast_trough_deltav_rheo,fast_trough_deltav_hero,peak_deltav_rheo,peak_deltav_hero,first_isi_inv_rheo,first_isi_inv_hero,sag_depol,sag_area_depol,sag_tau_depol,cell_name
1266833347,,20.97312546,4/27/23 16:53,3.689983232,461.551008,15.53764,0.033663972,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.945220998,-55.96875381,0.00182,14.82020958,-7.618779355,,27.53125381,0.184334025,2.069903125,0.157542387,-54.7388382,29.99999809,0.029692662,-95.93750763,387.4342144,321.4093457,0.028258956,0.11508,1,,1.952507654,-26.18750191,40.65625381,0.00084,201.3708533,-103.1344757,0.0007,-44.21875381,-44.09375,2.495930891,-44.09375,-41.5625,0.340026774,3,0.02518,0.05976,0.05976,0.340026774,,1.89278735,-26.40625,37.34375,0.00088,190.5460218,-100.6695347,0.00072,-45.90625381,-45.84375381,0.310741988,0.025928696,0.28158972,0.468100727,,5,18.24880952,1.595238095,0.388141912,0.591421456,0.548571425,0.764554767,0.008480658,-0.125003815,-0.0625,-17.90624809,-19.43750381,66.84375572,63.75,,25.35496957,0.183661103,0.845827578,0.023876498,
1266840504,,17.89562416,4/27/23 18:28,3.70061312,587.128256,11.539797,0.019654644,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.791901519,-38.87500381,0.0007,262.7270777,-146.6191501,0.0006,75.68750763,0.078436024,1.0223475,,-56.63986969,16,0.346898969,-97.37500763,390.3645277,487.2092262,0.036422379,0.16968,1,,1.585100327,-37.62500381,35.06250381,0.00082,205.4180829,-129.5931111,0.00068,-56.71875,-56.59375381,-0.034700213,-56.59375381,-55.50000381,0.014347029,21,0.01284,0.046445,0.04783,0.11052928,0.083036773,1.706796359,-40.4375,33.8125,0.00074,232.7807784,-136.3846233,0.00062,-56.21875381,-56.03125381,0.875014163,0.043528955,0.017930343,0.117343942,0.150003091,44,1.691729323,1.105263158,0.799710443,0.912751499,0.936666768,0.913960948,0.009066667,-0.124996185,-0.1875,-18.96875,-15.59375381,72.68750763,74.25,,33.57958361,0.0668616,0,,
1266874741,,19.97125053,4/27/23 19:16,2.985571328,833.439232,15.56242,0.018672531,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.395529664,-33.15625191,0.00079,143.2793348,-102.6671778,0.00055,41.15625238,0.052669257,0,,-69.26412964,29.99999809,0.027643171,-99.40625763,649.7654319,580.6463651,0.027120108,0.12692,2,0.10126,1.0530955,-31.8125,12.84375,0.00092,99.0831163,-94.0874938,0.0007,-51.81250381,-51.375,0.349984287,-49.21875,-49.15625381,0.041567129,3,0.01802,0.02093,0.02093,0.041567129,,1.255069511,-34.15625,8.625000954,0.00084,114.3244342,-91.09012149,0.00064,-54.59375381,-54.28125381,-0.17583194,0.104204753,0.060016939,0.057753574,,6,1.412673879,1.4,0.497286598,0.694695092,0.852059828,0.626262562,0.122621564,-0.437503815,-0.3125,-19.5625,-20.12500381,44.65625,42.78125095,9.875567845,49.85044865,0.091332056,0.436396094,0.005024582,
1266606267,,-8.991874695,4/26/23 17:23,2.435071232,440.5464,15.335416,0.034809991,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.728655684,-14.31250095,,122.8015155,-71.0387364,0.00056,30.59375095,0.042656358,0,,-60.76996613,80,0.009166667,-101.0625076,317.8880513,302.2924254,0.011368591,0.1001,1,,1.680917008,-15.06250095,30.50000191,0.0008,170.4205239,-101.385448,0.00056,-39.40625,-39.34375381,1.222165761,-39.34375381,-38.21875,,1,0.01796,,,,,1.621147172,-15.00000095,21.0625,0.00092,111.5021793,-68.77980068,0.00064,-35.65625,-35.5,0.056668243,,,0,,2,,,,,,,,-0.062496185,-0.15625,-24.28125286,-20.49999905,45.56250286,36.06250095,,,0.098784477,0.578719531,,
1266616854,,26.56500053,4/26/23 18:35,1.28305856,478.947552,19.83211,0.041407686,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.508083372,-14.53125095,0.00072,204.6833434,-135.7241564,0.00046,46.78125477,0.055062931,0.622584102,0.008885034,-54.50463104,110,0.030677849,-97.37500763,417.3435867,403.1786233,0.013749425,0.01964,1,,1.275179161,-16.53125191,30.53125191,0.00078,162.5037809,-127.4360387,0.00052,-44.90625,-44.84375381,1.158560446,-44.84375381,,,2,0.00824,0.0188,0.0188,0,,1.643552314,-21.34375,36.50000381,0.00064,242.7275926,-147.6847378,0.00048,-46.03125,-45.96875381,2.107960457,0.073875803,0.086195991,0.091833351,,5,1.470464135,2.0625,0.259112512,0.466761382,0.431091515,0.464824121,0.133428981,-0.062496185,-0.062496185,-28.31250191,-24.62500381,47.06250381,57.84375381,,53.19148936,0.163157344,0.829353125,,
1266373980,,38.83250046,4/25/23 17:50,4.44033536,1700.97856,16.484231,0.009691028,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266381093,,26.85187531,4/25/23 18:23,4.333989376,960.318464,13.530163,0.014089246,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.560046899,-35.09375,0.0005,215.2595832,-137.982764,0.00038,42.43750048,0.361791462,3.046959688,0.125166427,-62.1317749,10,0.502608185,-97.50000763,395.0119615,207.9451139,0.024537065,0.1193,2,0.51456,1.550968037,-40.34375,6.28125,0.00048,235.3403758,-151.7377342,0.00036,-57.87500381,-57.81250381,1.243905093,-58.375,-56.37500381,0.024960697,29,0.01772,0.034054286,0.03433,0.246426251,0.119921684,1.599495122,-35.68750381,7.625000477,0.00048,218.6508223,-136.6998994,0.00036,-50.875,-50.68750381,2.576850459,0.036397573,0.063607676,0.193049454,0.129743611,66,2.104275742,1.041666667,0.897060093,0.952398684,0.928847648,1,0.007866052,-0.0625,-0.187496185,-17.46875381,-15,46.625,43.31250429,1.94340796,90.4159132,0.310046852,1.273482344,0.112593155,
1266391028,,16.84375,4/25/23 19:04,2.152492288,377.435232,8.2882675,0.021959443,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.779950724,-30.00000191,0.00124,145.7417557,-81.87965753,0.00078,55.56250191,0.04140681,0,,-69.15254211,40,0.110526335,-99.31250763,530.3124189,526.2116442,0.060618464,0.55758,2,0.29854,2.095783416,-24.71875,26.96875191,0.00192,82.58904175,-39.40724081,0.00142,-51.21875,-49.53125,-0.546656554,-48.87500381,,0.057331686,3,0.40234,0.18611,0.18611,0.057331686,,1.733180247,-27.65625191,21.03125191,0.00192,72.41079073,-41.77914608,0.0014,-53.28125,-52.40625,0.064034255,0.066761508,0.066612387,0.046576007,0.182693992,4,,,,,,,,-1.6875,-0.875,-24.8125,-24.74999809,51.68750191,48.68750381,3.34963489,5.6999544,0.010760193,0,,
1265611490,,11.14750004,4/21/23 16:38,4.428690432,491.768704,13.738592,0.027937101,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2.032677824,-37.28125191,0.00081,256.8539607,-126.5586539,0.00068,73.17188072,0.023284575,0,,-50.03072357,14,0.352213797,-91.50000763,429.5036793,426.4269314,0.029651315,0.71538,1,,1.598709501,-31.78125191,32.34375381,0.00086,196.7940316,-123.0955539,0.00066,-58.375,-58.28125381,0.361333505,-58.28125381,-54.06250381,0.020297392,17,0.00988,0.05971125,0.05986,0.134739508,0.192427386,2.116019776,-35.21875381,38.03125,0.00082,265.9302866,-125.6747643,0.0007,-57.5,-57.28125381,1.504503183,0.026690853,0.02216955,0.111309994,0.178350427,47,1.673804334,1.12195122,0.652715437,0.892990204,0.870905544,0.798141943,0.007507277,-0.093746185,-0.218746185,-26.50000191,-22.0625,64.12500572,73.25000381,,23.90057361,0.382929742,1.31708625,0.019109854,
1265624510,,6.734375,4/21/23 18:20,4.408057856,535.512224,18.295438,0.03416437,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1.599511372,-38.375,0.00094,182.7272782,-114.2394368,0.00066,58.37500191,0.073292933,0.759228594,,-70.1884079,50,-0.076923092,-102.5937576,346.2500274,318.6198342,0.015930167,0.55478,2,0.25734,1.610744591,-36.28125,26.62500191,0.001,152.2709831,-94.53453019,0.0008,-55.56250381,-55.40625381,0.100494672,-54.3125,,,1,0.30108,,,,,1.495234249,-34.78125,22.31250191,0.001,134.6267407,-90.03722382,0.00082,-54.46875,-54.06250381,-0.512440684,,-0.115465969,0.202905749,0.15500636,5,0.472475867,1.1,0.809628259,0.902542204,0.938368062,0.922535145,0.025768452,-0.15625,-0.406246185,-19.12500381,-19.28125381,62.90625191,57.09375191,3.885909691,,0.057022348,0.24434377,,
